id,CROP_ID,CROP,input_level,SQI_code,PSCL,PSCL_ID,DrainNum,Drain,score,drainage_id,drainage_req_text
227,4,Maize,2,4,C,1,3,I,90,II_DR3_TXT1,Coarse textures - Drainage level Imperfectly
228,4,Maize,2,4,C,1,4,M,100,II_DR4_TXT1,Coarse textures - Drainage level Moderately well
229,4,Maize,2,4,C,1,5,W,100,II_DR5_TXT1,Coarse textures - Drainage level Well
230,4,Maize,2,4,C,1,6,S,100,II_DR6_TXT1,Coarse textures - Drainage level Somewhat excessive
231,4,Maize,2,4,C,1,7,E,100,II_DR7_TXT1,Coarse textures - Drainage level Excessive
232,4,Maize,5,4,F,3,1,V,90,HI_DR1_TXT3,Fine textures - Drainage level Very Poor
233,4,Maize,5,4,F,3,2,P,100,HI_DR2_TXT3,Fine textures - Drainage level Poor
234,4,Maize,5,4,F,3,3,I,100,HI_DR3_TXT3,Fine textures - Drainage level Imperfectly
235,4,Maize,5,4,F,3,4,M,100,HI_DR4_TXT3,Fine textures - Drainage level Moderately well
236,4,Maize,5,4,F,3,5,W,100,HI_DR5_TXT3,Fine textures - Drainage level Well
237,4,Maize,5,4,F,3,6,S,100,HI_DR6_TXT3,Fine textures - Drainage level Somewhat excessive
238,4,Maize,5,4,F,3,7,E,100,HI_DR7_TXT3,Fine textures - Drainage level Excessive
239,4,Maize,5,4,M,2,1,V,90,HI_DR1_TXT2,Medium textures - Drainage level Very Poor
240,4,Maize,5,4,M,2,2,P,100,HI_DR2_TXT2,Medium textures - Drainage level Poor
241,4,Maize,5,4,M,2,3,I,100,HI_DR3_TXT2,Medium textures - Drainage level Imperfectly
242,4,Maize,5,4,M,2,4,M,100,HI_DR4_TXT2,Medium textures - Drainage level Moderately well
243,4,Maize,5,4,M,2,5,W,100,HI_DR5_TXT2,Medium textures - Drainage level Well
244,4,Maize,5,4,M,2,6,S,100,HI_DR6_TXT2,Medium textures - Drainage level Somewhat excessive
245,4,Maize,5,4,M,2,7,E,100,HI_DR7_TXT2,Medium textures - Drainage level Excessive
246,4,Maize,5,4,C,1,1,V,90,HI_DR1_TXT1,Coarse textures - Drainage level Very Poor
247,4,Maize,5,4,C,1,2,P,100,HI_DR2_TXT1,Coarse textures - Drainage level Poor
248,4,Maize,5,4,C,1,3,I,100,HI_DR3_TXT1,Coarse textures - Drainage level Imperfectly
249,4,Maize,5,4,C,1,4,M,100,HI_DR4_TXT1,Coarse textures - Drainage level Moderately well
250,4,Maize,5,4,C,1,5,W,100,HI_DR5_TXT1,Coarse textures - Drainage level Well
251,4,Maize,5,4,C,1,6,S,100,HI_DR6_TXT1,Coarse textures - Drainage level Somewhat excessive
252,4,Maize,5,4,C,1,7,E,100,HI_DR7_TXT1,Coarse textures - Drainage level Excessive
253,5,Barley,1,4,F,3,1,V,10,LI_DR1_TXT3,Fine textures - Drainage level Very Poor
